更新时间,#genre#
20241203 07:51:48,url


freetv,#genre#
CCTV1,https://stream1.freetv.fun/cctv-1-10.m3u8$[BD]cctv-1
CCTV1,https://stream1.freetv.fun/cctv-1-11.m3u8$[BD]cctv-1
CCTV1,https://stream1.freetv.fun/cctv-1-14.m3u8$[BD]cctv-1
CCTV1,https://stream1.freetv.fun/cctv-1-15.m3u8$[HD]cctv-1
CCTV1,https://stream1.freetv.fun/cctv-1-3.m3u8$[BD]cctv-1_hd
CCTV1,https://stream1.freetv.fun/cctv-1-zong-he-1.m3u8$[BD]cctv-1_综合
CCTV1,https://stream1.freetv.fun/cctv1-1.m3u8$[HD]cctv1
CCTV1,https://stream1.freetv.fun/cctv1-11.m3u8$[BD]cctv1
CCTV1,https://stream1.freetv.fun/cctv1-12.m3u8$[BD]cctv1
CCTV1,https://stream1.freetv.fun/cctv1-14.m3u8$[BD]cctv1
CCTV1,https://stream1.freetv.fun/cctv1-17.m3u8$[BD]cctv1
CCTV1,https://stream1.freetv.fun/cctv1-19.ctv$[BD]cctv1
CCTV1,https://stream1.freetv.fun/cctv1-2.m3u8$[BD]cctv1
CCTV1,https://stream1.freetv.fun/cctv1-23.m3u8$[BD]cctv1
CCTV1,https://stream1.freetv.fun/cctv1-33.m3u8$[BD]cctv1
CCTV1,https://stream1.freetv.fun/cctv1-35.m3u8$[BD]cctv1
CCTV1,https://stream1.freetv.fun/cctv1-36.m3u8$[BD]cctv1
CCTV1,https://stream1.freetv.fun/cctv1-39.m3u8$[BD]cctv1
CCTV1,https://stream1.freetv.fun/cctv1-45.m3u8$[BD]cctv1
CCTV1,https://stream1.freetv.fun/cctv1-47.m3u8$[BD]cctv1
CCTV1,https://stream1.freetv.fun/cctv1-51.m3u8$[BD]cctv1
CCTV1,https://stream1.freetv.fun/cctv1-52.m3u8$[BD]cctv1
CCTV1,https://stream1.freetv.fun/cctv1-55.ctv$[BD]cctv1
CCTV1,https://stream1.freetv.fun/cctv1-56.m3u8$[BD]cctv1
CCTV1,https://stream1.freetv.fun/cctv1-58.m3u8$[BD]cctv1
CCTV1,https://stream1.freetv.fun/cctv1-59.ctv$[BD]cctv1
CCTV1,https://stream1.freetv.fun/cctv1-6.m3u8$[BD]cctv1
CCTV1,https://stream1.freetv.fun/cctv1-60.m3u8$[BD]cctv1
CCTV1,https://stream1.freetv.fun/cctv1-71.m3u8$[BD]cctv1
CCTV1,https://stream1.freetv.fun/cctv1-73.m3u8$[BD]cctv1
CCTV1,https://stream1.freetv.fun/cctv1-76.m3u8$[BD]cctv1
CCTV1,https://stream1.freetv.fun/cctv1-8.m3u8$[BD]cctv1
CCTV1,https://stream1.freetv.fun/ipv6-cctv-1-12.m3u8$[BD]cctv-1
CCTV1,https://stream1.freetv.fun/ipv6-cctv-1-8.m3u8$[BD]cctv-1
CCTV1,https://stream1.freetv.fun/ipv6-cctv-1-9.m3u8$[BD]cctv-1
CCTV1,https://stream1.freetv.fun/ipv6-cctv-1-zong-he-3.m3u8$[BD]cctv-1_综合
CCTV1,https://stream1.freetv.fun/ipv6-cctv-1-zong-he-4.m3u8$[BD]cctv-1_综合
CCTV1,https://stream1.freetv.fun/ipv6-cctv-1-zong-he-6.m3u8$[BD]cctv-1_综合
CCTV1,https://stream1.freetv.fun/ipv6-cctv1-15.ctv$[BD]cctv1
CCTV1,https://stream1.freetv.fun/ipv6-cctv1-16.m3u8$[BD]cctv1
CCTV1,https://stream1.freetv.fun/ipv6-cctv1-18.m3u8$[BD]cctv1
CCTV1,https://stream1.freetv.fun/ipv6-cctv1-20.m3u8$[BD]cctv1
CCTV1,https://stream1.freetv.fun/ipv6-cctv1-21.ctv$[BD]cctv1
CCTV1,https://stream1.freetv.fun/ipv6-cctv1-22.m3u8$[BD]cctv1
CCTV1,https://stream1.freetv.fun/ipv6-cctv1-25.m3u8$[BD]cctv1
CCTV1,https://stream1.freetv.fun/ipv6-cctv1-27.m3u8$[BD]cctv1
CCTV1,https://stream1.freetv.fun/ipv6-cctv1-28.m3u8$[BD]cctv1
CCTV1,https://stream1.freetv.fun/ipv6-cctv1-29.m3u8$[BD]cctv1
CCTV1,https://stream1.freetv.fun/ipv6-cctv1-3.m3u8$[BD]cctv1
CCTV1,https://stream1.freetv.fun/ipv6-cctv1-30.m3u8$[BD]cctv1
CCTV1,https://stream1.freetv.fun/ipv6-cctv1-38.m3u8$[BD]cctv1
CCTV1,https://stream1.freetv.fun/ipv6-cctv1-4.m3u8$[BD]cctv1
CCTV1,https://stream1.freetv.fun/ipv6-cctv1-43.m3u8$[BD]cctv1
CCTV1,https://stream1.freetv.fun/ipv6-cctv1-49.m3u8$[BD]cctv1
CCTV1,https://stream1.freetv.fun/ipv6-cctv1-50.m3u8$[BD]cctv1
CCTV1,https://stream1.freetv.fun/ipv6-cctv1-62.m3u8$[BD]cctv1
CCTV1,https://stream1.freetv.fun/ipv6-cctv1-64.ctv$[BD]cctv1
CCTV1,https://stream1.freetv.fun/ipv6-cctv1-65.m3u8$[BD]cctv1
CCTV1,https://stream1.freetv.fun/ipv6-cctv1-67.m3u8$[BD]cctv1
CCTV1,https://stream1.freetv.fun/ipv6-cctv1-7.m3u8$[BD]cctv1
CCTV1,https://stream1.freetv.fun/ipv6-cctv1-74.m3u8$[BD]cctv1
CCTV1,https://stream1.freetv.fun/ipv6-cctv1-75.m3u8$[BD]cctv1
CCTV1,https://stream1.freetv.fun/ipv6-cctv1zong-he-7.m3u8$[BD]cctv1综合
CCTV1,https://stream1.freetv.fun/ipv6-cctv1zong-he-8.m3u8$[BD]cctv1综合
CCTV10,https://stream1.freetv.fun/cctv-10-14.m3u8$[BD]cctv-10
CCTV10,https://stream1.freetv.fun/cctv-10-22.m3u8$[BD]cctv-10
CCTV10,https://stream1.freetv.fun/cctv-10-3.m3u8$[BD]cctv-10_hd
CCTV10,https://stream1.freetv.fun/cctv-10gao-qing-2.ctv$[BD]cctv-10高清
CCTV10,https://stream1.freetv.fun/cctv-hd-10-1.ctv$[BD]cctv（hd）10
CCTV10,https://stream1.freetv.fun/cctv10-13.m3u8$[BD]cctv10
CCTV10,https://stream1.freetv.fun/cctv10-15.m3u8$[BD]cctv10
CCTV10,https://stream1.freetv.fun/cctv10-16.m3u8$[BD]cctv10
CCTV10,https://stream1.freetv.fun/cctv10-17.m3u8$[BD]cctv10
