<虎牙>,#genre#
[虎牙]铁道游击队,https://live.880824.xyz/huya/11352936
[虎牙]铁齿铜牙,https://live.880824.xyz/huya/11342396
[虎牙]士兵突击,https://live.880824.xyz/huya/11342430
[yy]士兵突击,https://live.880824.xyz/yy/1382828766
[虎牙]刑事侦缉档案,https://live.880824.xyz/huya/23734169
[虎牙]寻秦记,https://live.880824.xyz/huya/23864973
[斗鱼]寻秦记,https://live.880824.xyz/douyu/11646306



超炫科幻大片,http://43.136.119.99/yy.php?id=1382736840
科幻电影,http://11.xmyxc.cn/api/php/yy.php?id=1354930209
科幻电影,http://43.136.119.99/yy.php?id=1354930209
电影_怪兽,https://live.metshop.top/huya/21059577
电影_怪兽,http://120.77.28.4:8648/huya.php?id=21059577
电影_喜乐影院,https://live.metshop.top/huya/21059580
电影_喜乐影院,http://120.77.28.4:8648/huya.php?id=21059580
电影_喜剧专场,http://120.77.28.4:8648/huya.php?id=11602044
电影_救援,https://live.metshop.top/huya/21059594
电影_救援,http://120.77.28.4:8648/huya.php?id=21059594
电影_玄幻,https://live.metshop.top/huya/11342414
电影_玄幻,http://120.77.28.4:8648/huya.php?id=11342414
电影_古墓系列,http://120.77.28.4:8648/huya.php?id=11352913
电影_功夫片,http://120.77.28.4:8648/huya.php?id=11352941
电影_罪犯,http://120.77.28.4:8648/huya.php?id=11352962
电影_盗墓,https://live.metshop.top/huya/21059552
电影_盗墓,http://120.77.28.4:8648/huya.php?id=21059552
电影_犯罪片,https://live.metshop.top/huya/11352974
电影_犯罪片,http://120.77.28.4:8648/huya.php?id=11352974
电影_不挤影院,http://120.77.28.4:8648/huya.php?id=11352897
电影_武侠,http://120.77.28.4:8648/huya.php?id=11342427
电影_黑帮片,http://120.77.28.4:8648/huya.php?id=11336719
电影_丧尸片,https://live.metshop.top/huya/21059578
电影_丧尸片,http://120.77.28.4:8648/huya.php?id=21059578
电影_动作电影,http://120.77.28.4:8648/huya.php?id=11602077
电影_战争片,http://120.77.28.4:8648/huya.php?id=21059574
电影_搞笑喜剧,http://120.77.28.4:8648/huya.php?id=11342423
电影_搞笑恐怖,http://120.77.28.4:8648/huya.php?id=11601960
电影_枪战,http://120.77.28.4:8648/huya.php?id=21059579
电影_热血,http://120.77.28.4:8648/huya.php?id=11352934
电影_经典女神,http://120.77.28.4:8648/huya.php?id=11352909
电影_许氏三杰,http://120.77.28.4:8648/huya.php?id=11602033
电影_谍战,https://live.metshop.top/huya/21059585
电影_谍战,http://120.77.28.4:8648/huya.php?id=21059585
电影_谍战片,http://120.77.28.4:8648/huya.php?id=21059587
电影_贺岁,https://live.metshop.top/huya/11601971
电影_贺岁,http://120.77.28.4:8648/huya.php?id=11601971
电影_贺岁片,http://120.77.28.4:8648/huya.php?id=11601986


















[虎牙]王晶,https://live.880824.xyz/huya/11602058
[虎牙]一代枭雄,https://live.880824.xyz/huya/11342398
[虎牙]陀枪师姐,https://live.880824.xyz/huya/23860039
[斗鱼]陀枪师姐,https://live.880824.xyz/douyu/11645048

[虎牙]国外野外,https://live.880824.xyz/huya/20985807
[虎牙]国内野外,https://live.880824.xyz/huya/20985855

[虎牙]我的团长我的团,https://live.880824.xyz/huya/11352910
[虎牙]法外狂徒张三,https://live.880824.xyz/huya/11601965
[虎牙]铁道游击队,https://live.iill.top/huya/11352936
[虎牙]铁齿铜牙,https://live.iill.top/huya/11342396
[虎牙]士兵突击,https://live.iill.top/huya/11342430
[yy]士兵突击,https://live.iill.top/yy/1382828766
[虎牙]刑事侦缉档案,https://live.iill.top/huya/23734169
[虎牙]寻秦记,https://live.iill.top/huya/23864973
[斗鱼]寻秦记,https://live.iill.top/douyu/11646306

[虎牙]王晶,https://live.iill.top/huya/11602058
[虎牙]一代枭雄,https://live.iill.top/huya/11342398
[虎牙]陀枪师姐,https://live.iill.top/huya/23860039
[斗鱼]陀枪师姐,https://live.iill.top/douyu/11645048

[虎牙]国外野外,https://live.iill.top/huya/20985807
[虎牙]国内野外,https://live.iill.top/huya/20985855

[虎牙]我的团长我的团,https://live.iill.top/huya/11352910
[虎牙]法外狂徒张三,https://live.iill.top/huya/11601965
<斗鱼>,#genre#
[斗鱼]宇宙探索飞船,https://live.880824.xyz/douyu/9456028
[斗鱼]李允儿助眠小窝,https://live.880824.xyz/douyu/9038894
[斗鱼]鬼片,https://live.880824.xyz/douyu/310926
[斗鱼]永不磨灭的番号,https://live.880824.xyz/douyu/8157860
[斗鱼]刑事侦缉档案,https://live.880824.xyz/douyu/138959
[斗鱼]胡八一,https://live.880824.xyz/douyu/5800628
[斗鱼]天龙八部,https://live.880824.xyz/douyu/7655471
[yy]天龙八部,https://live.880824.xyz/yy/28996058
[斗鱼]西游记续集,https://live.880824.xyz/douyu/3113309

[斗鱼]宇宙探索飞船,https://live.iill.top/douyu/9456028
[斗鱼]李允儿助眠小窝,https://live.iill.top/douyu/9038894
[斗鱼]鬼片,https://live.iill.top/douyu/310926
[斗鱼]永不磨灭的番号,https://live.iill.top/douyu/8157860
[斗鱼]刑事侦缉档案,https://live.iill.top/douyu/138959
[斗鱼]胡八一,https://live.iill.top/douyu/5800628
[斗鱼]天龙八部,https://live.iill.top/douyu/7655471
[yy]天龙八部,https://live.iill.top/yy/28996058
[斗鱼]西游记续集,https://live.iill.top/douyu/3113309
<YY>,#genre#
[yy]康熙微服私访记,https://live.880824.xyz/yy/1352811698
[yy]举起手来,https://live.880824.xyz/yy/1382736877
[yy]少年包青天1-3蓝光版,https://live.880824.xyz/yy/38498680
[yy]我的兄弟叫顺溜,https://live.880824.xyz/yy/1459331991
[yy]林正英,https://live.880824.xyz/yy/1353685311
[yy]新白娘子传奇,https://live.880824.xyz/yy/1354490667
[yy]吴京,https://live.880824.xyz/yy/37999586
[yy]林正英,https://live.880824.xyz/yy/1351505899
[yy]香港动作片,https://live.880824.xyz/yy/24407222
[yy]火蓝刀锋,https://live.880824.xyz/yy/1382737892
[yy]赌片,https://live.880824.xyz/yy/24921161
[yy]小兵张嘎,https://live.880824.xyz/yy/1354930225
[yy]敢死队,https://live.880824.xyz/yy/1382735573
[yy]少年包青天,https://live.880824.xyz/yy/1382651363
[yy]天道,https://live.880824.xyz/yy/1382735574
[yy]第一滴血全集,https://live.880824.xyz/yy/1354932355
[yy]成龙系列,https://live.880824.xyz/yy/1354888751
[yy]动物世界,https://live.880824.xyz/yy/1382736834
[yy]港台影院,https://live.880824.xyz/yy/1354889234
[yy]蜘蛛侠,https://live.880824.xyz/yy/1354926671
[yy]国语国外战争,https://live.880824.xyz/yy/1382735571
[yy]黑衣人,https://live.880824.xyz/yy/1354933556
[yy]憨豆先生,https://live.880824.xyz/yy/1354930189
[yy]科幻世界,https://live.880824.xyz/yy/1354930903



[yy]康熙微服私访记,https://live.iill.top/yy/1352811698
[yy]举起手来,https://live.iill.top/yy/1382736877
[yy]少年包青天1-3蓝光版,https://live.iill.top/yy/38498680
